id,name,chain,category,type,github,twitter,oracles,project_count
3205,PHUX,Pulse,Dexes,Trading & Exchanges,,PHUXGiven,[],1
1713,Duet Protocol,Binance,Synthetics,Asset Management,[duet-protocol],duetprotocol,"[Chainlink, TWAP]",1
2459,Neutra Finance,Arbitrum,Yield,Asset Management,,Neutrafinance,[],1
3337,None Trading,Ethereum,Services,"Infrastructure, Services & Financial Products",,nonethio,[],1
2599,Moret,Polygon,Options,Trading & Exchanges,,moret_io,[Chainlink],1
512,Feeder Finance,Binance,Yield,Asset Management,[FeederFinance],FeederFinance,,1
3044,MarginX,FunctionX,Derivatives,Trading & Exchanges,,marginx_io,,1
2905,FunBear,Kava,Services,"Infrastructure, Services & Financial Products",,funbeario,[],1
2236,Yield Yak Staked Avax,Avalanche,Liquid Staking,Asset Management,,yieldyak_,[RedStone],1
1606,Mockingbird,Fantom,Farm,"Infrastructure, Services & Financial Products",,philetairus,[],1
3181,Sui,Sui,Chain,"Infrastructure, Services & Financial Products",,SuiNetwork,[],1
2842,Sharky,Solana,NFT Lending,"Lending, Borrowing & Real World Assets",,SharkyFi,[],1
667,Mars Ecosystem,Binance,CDP,"Lending, Borrowing & Real World Assets",[MarsEcosystem],MarsEcosystem,,1
3548,Shoebill V2,Klaytn,Lending,"Lending, Borrowing & Real World Assets",,ShoebillFinance,[],1
3333,BaseSwap V2,Base,Dexes,Trading & Exchanges,,BaseSwap_Fi,[],1
2103,Orbit,Polygon,Services,"Infrastructure, Services & Financial Products",,OrbitFi,[TWAP],1
1399,Fastyield Finance,Fantom,Yield Aggregator,Asset Management,,fastyieldapp,[],1
1873,Torches,Kucoin,Lending,"Lending, Borrowing & Real World Assets",,TorchesFinance,"[Internal, Pyth]",1
834,BSCStation,Binance,Dexes,Trading & Exchanges,[BSCStationSwap],bscstation,,1
295,Stacks Staking,Stacks,Chain,"Infrastructure, Services & Financial Products",[stacks-network],Stacks,,1
2697,Bond Protocol,Ethereum,Services,"Infrastructure, Services & Financial Products",[Bond-Protocol],Bond_Protocol,[],1
636,Keep3r Network,Ethereum,Derivatives,Trading & Exchanges,[keep3r-network],thekeep3r,,1
3317,VivaLeva Protocol,zkSync Era,Leveraged Farming,"Lending, Borrowing & Real World Assets",,vivaleverage,[],1
1411,Manarium,Binance,Gaming,"Infrastructure, Services & Financial Products",,manarium_gg,[],1
460,Ondo v1 (Legacy),Ethereum,Yield,Asset Management,,OndoFinance,,1
3196,FlowX Finance,Sui,Dexes,Trading & Exchanges,,FlowX_finance,[],1
2328,SynFutures V1,Ethereum,Derivatives,Trading & Exchanges,,SynFuturesDefi,"[Chainlink, TWAP]",1
237,Swipe,Ethereum,Dexes,Trading & Exchanges,,Swipe,"[Chainlink, Band]",1
3426,ChocoBase,Base,Farm,"Infrastructure, Services & Financial Products",,TheKitchenBase,[],1
1261,DarkCrypto,Cronos,Algo-Stables,Asset Management,,DarkCryptoFi,,1
257,XDeFi,Ethereum,Dexes,Trading & Exchanges,[xdefilab],xdefilab,,1
2413,Decryption,Tlchain,Dexes,Trading & Exchanges,,tlchainnetwork,[],1
2490,Libre Swap,Libre,Dexes,Trading & Exchanges,,libreblockchain,[],1
3169,Savvy,Arbitrum,CDP,"Lending, Borrowing & Real World Assets",,SavvyDeFi,[Chainlink],1
2828,ThunderCore Staking,ThunderCore,Staking Pool,"Infrastructure, Services & Financial Products",,ThunderCoreLab,[],1
2472,Traddify Arbitrage,Kava,Yield Aggregator,Asset Management,,traddify,[],1
3085,UrDEX Finance,Arbitrum,Derivatives,Trading & Exchanges,,UrDEX_Finance,[Chainlink],1
2788,Moonbeam,Moonbeam,Chain,"Infrastructure, Services & Financial Products",,MoonbeamNetwork,[],1
795,SenpaiSwap,Boba,Reserve Currency,Asset Management,,senpaiswap,,1
208,ACryptoS,Binance,Yield Aggregator,Asset Management,,acryptosdao,,1
2290,GhostMarket,NEO,Liquid Staking,Asset Management,[OnBlockIO],ghostmarketio,,1
2517,ParaSpace Lending V1,Ethereum,Lending,"Lending, Borrowing & Real World Assets",,ParaSpace_NFT,[Internal],1
3331,Tetu Pawnshop,Polygon,NFT Lending,"Lending, Borrowing & Real World Assets",,tetu_io,[],1
2008,Forteswap,Canto,Dexes,Trading & Exchanges,,,[],1
417,Solyard,Solana,Yield,Asset Management,,SolyardFinance,,1
1939,Emp Money,Binance,Algo-Stables,Asset Management,,EmpMoneyBSC,[],1
622,Clipper,Ethereum,Dexes,Trading & Exchanges,[shipyard-software],Clipper_DEX,,1
952,FlatQube,Everscale,Dexes,Trading & Exchanges,[broxus],FlatQube,,1
2203,Tetu Swap,Polygon,Yield,Asset Management,,tetu_io,[Internal],1
3367,PSY,Arbitrum,CDP,"Lending, Borrowing & Real World Assets",[psystablecoin],PSY_Stablecoin,[Chainlink],1
3653,Mellow,Base,SoFi,Others,,join_mellow,[],1
3408,Lynex,Linea,Dexes,Trading & Exchanges,,LynexFi,[],1
1845,OrbitalSwap,Binance,Dexes,Trading & Exchanges,,OrbitalSS,[],1
947,PolyShield,Polygon,Yield,Asset Management,,TeamPolyshield,,1
644,PadSwap,Binance,Dexes,Trading & Exchanges,[ToadNetwork],ToadNetwork,,1
1775,EcoDeFi,Binance,Lending,"Lending, Borrowing & Real World Assets",,ESG_Financial,[Chainlink],1
3038,Rainbow,Ethereum,Services,"Infrastructure, Services & Financial Products",[rainbow-me],rainbowdotme,,1
3293,Gravity Bridge,GravityBridge,Bridge,Trading & Exchanges,[Gravity-Bridge],gravity_bridge,[],1
459,Multiplier,Binance,Lending,"Lending, Borrowing & Real World Assets",,MultiplierMXX,[Chainlink],1
1002,YokaiSwap,Godwoken,Dexes,Trading & Exchanges,,yokaiswap,,1
634,Singular Farm,Avalanche,Yield,Asset Management,,singularfarm,,1
3052,FilFi,Filecoin,Staking Pool,"Infrastructure, Services & Financial Products",,filfi_io,[],1
957,Flame DeFi,Tezos,Yield,Asset Management,,FlameDeFi,,1
3187,CryptoDickbutts,Ethereum,Services,"Infrastructure, Services & Financial Products",,CryptoDickbutts,,1
2615,KyberSwap Elastic,Ethereum,Dexes,Trading & Exchanges,,KyberNetwork,,1
1431,X2Y2,Ethereum,NFT Lending,"Lending, Borrowing & Real World Assets",,the_x2y2,[],1
3199,Collectif DAO,Filecoin,Liquid Staking,Asset Management,[collective-dao],CollectifDAO,[],1
720,Nasdex,Polygon,Dexes,Trading & Exchanges,,nasdex_xyz,,1
1781,SteakHut,Avalanche,Farm,"Infrastructure, Services & Financial Products",,steakhut_fi,[],1
1014,TempoDAO,Avalanche,Reserve Currency,Asset Management,,RevenantGamefi,,1
2549,POISON FINANCE,Arbitrum,Synthetics,Asset Management,,PoisonFinance,"[Chainlink, Pyth]",1
3484,PolyLend,Polygon zkEVM,Lending,"Lending, Borrowing & Real World Assets",[polylendxyz],polylendxyz,[],1
2649,CoreSwap,CORE,Dexes,Trading & Exchanges,,CoreSwapFinance,[],1
2049,KLEX Finance,Klaytn,Dexes,Trading & Exchanges,,klexfinance,[],1
2476,Meme Dollar,Ethereum,Algo-Stables,Asset Management,,dontdiememe,[TWAP],1
2402,Veno Finance,Cronos,Liquid Staking,Asset Management,,VenoFinance,[],1
3166,Veplus,Binance,Dexes,Trading & Exchanges,,VeplusOfficial,[Chainlink],1
1878,ApeX Protocol,Arbitrum,Derivatives,Trading & Exchanges,[ApeX-Protocol],OfficialApeXdex,[Stork],1
2512,Velvet.Capital,Binance,Indexes,"Infrastructure, Services & Financial Products",,Velvet_Capital,[Chainlink],1
1792,Foodcourt,REIchain,Dexes,Trading & Exchanges,,FoodcourtF,[],1
620,Francium,Solana,Yield,Asset Management,,Francium_Defi,[Pyth],1
2423,Forthewin Network,NEO,Dexes,Trading & Exchanges,,N3_FTW_NETWORK,[],1
3277,DexFinance Arbitrum,Arbitrum,Dexes,Trading & Exchanges,,DexFinance,[],1
1099,Ara Finance,Avalanche,Reserve Currency,Asset Management,,AraFinance,,1
1675,CENNZnet Bridge,Ethereum,Bridge,Trading & Exchanges,[cennznet],CENNZnet,[],1
299,Levinswap,xDai,Dexes,Trading & Exchanges,,levinswap,,1
1358,Kassandra DAO,Avalanche,Indexes,"Infrastructure, Services & Financial Products",,dao_kassandra,,1
607,Hundred Finance,Ethereum,Lending,"Lending, Borrowing & Real World Assets",[hundred-finance],HundredFinance,[Chainlink],1
3638,HOPE Collateral,Ethereum,Cross Chain,Trading & Exchanges,,Hope_money_,[],1
436,WitSwap,Witnet,Oracle,"Infrastructure, Services & Financial Products",,WitSwap,,1
2368,Aptin Finance,Aptos,Lending,"Lending, Borrowing & Real World Assets",,AptinLabs,"[Switchboard, Pyth]",1
3345,DackieSwap V3,Base,Dexes,Trading & Exchanges,,DackieSwap,[Chainlink],1
3012,DynastySwap,Pulse,Dexes,Trading & Exchanges,,DynastySwap,,1
2823,ShadeSwap,Secret,Dexes,Trading & Exchanges,,Shade_Protocol,[Band],1
1160,Baker Guild,Fantom,Yield,Asset Management,,BakerGuild,,1
1291,Agora,Metis,Lending,"Lending, Borrowing & Real World Assets",,AgoraDefi,,1
680,Tinyman,Algorand,Dexes,Trading & Exchanges,[tinymanorg],tinymanorg,,1
3578,Klever Exchange,Ethereum,CEX,Trading & Exchanges,,BitcoinMe_,[],1
3525,FlashPulse,Pulse,Farm,"Infrastructure, Services & Financial Products",,flashpulsechain,[],1
2813,Cron Finance,Ethereum,Dexes,Trading & Exchanges,,cronfinance,[],1
3213,Dinotopia Finance,Binance,Algo-Stables,Asset Management,[dinotopiafi],dinotopiafi,"[Chainlink, TWAP]",1
2399,Opyn Squeeth,Ethereum,Derivatives,Trading & Exchanges,,opyn_,[],1
2006,JioSwap,GodwokenV1,Dexes,Trading & Exchanges,[JioSwap],jioswap,,1
2262,Kava Liquid,Kava,Liquid Staking,Asset Management,,KAVA_CHAIN,,1
1437,Nightmare Finance,Fantom,Farm,"Infrastructure, Services & Financial Products",,Nightmare_fi,[],1
3419,MobyDEX,Op_Bnb,Dexes,Trading & Exchanges,,mobydexio,[],1
1009,CheeseDAO,Harmony,Reserve Currency,Asset Management,[CatAndMouseDAO],CheeseGameAVAX,,1
875,TempleDAO,Ethereum,Reserve Currency,Asset Management,,templedao,,1
1623,TroyDefi,Binance,Farm,"Infrastructure, Services & Financial Products",,TroyDefi,[],1
924,ButterSwap,Heco,Dexes,Trading & Exchanges,,ButterSwap,,1
487,Sunny,Solana,Yield,Asset Management,,SunnyAggregator,,1
3035,Dexilla,zkSync Era,Dexes,Trading & Exchanges,,DexillaDAO,,1
3259,Aftermath AMM,Sui,Dexes,Trading & Exchanges,,AftermathFi,[],1
2503,PleasrDAO,Ethereum,Services,"Infrastructure, Services & Financial Products",[PleasrDAO],PleasrDAO,[],1
3222,Tenx,Tenet,Dexes,Trading & Exchanges,[tenxexchange],,[],1
754,BossSwap,Harmony,Dexes,Trading & Exchanges,,BossSwapFinance,,1
1959,Hubble Exchange,Avalanche,Derivatives,Trading & Exchanges,[hubble-exchange],HubbleExchange,[Chainlink],1
2699,WaterDendy,Arbitrum,Yield,Asset Management,,defi_waterfall,[],1
701,Behodler,Ethereum,Dexes,Trading & Exchanges,[Behodler],BehodlerAMM,[Internal],1
1204,BooFinance,Avalanche,Yield,Asset Management,,Boo_Finance,[TWAP],1
1024,DefySwap,Fantom,Dexes,Trading & Exchanges,,DefySwap,,1
375,Nerve Staking,Nuls,Dexes,Trading & Exchanges,,nerve_network,,1
2632,LendeXe Finance,Ethereum,Lending,"Lending, Borrowing & Real World Assets",,LendeXeFinance,[Chainlink],1
3524,Jumper Exchange,Ethereum,Services,"Infrastructure, Services & Financial Products",[lifinance],JumperExchange,[],1
1536,JetMine DAO,Fantom,Yield,Asset Management,,defi_waterfall,[],1
1974,Counterstake,Obyte,Cross Chain,Trading & Exchanges,,ObyteOrg,[],1
2575,Cypher,Solana,Derivatives,Trading & Exchanges,[chugach-foundation],cypher_protocol,[Pyth],1
286,Mango Markets V3,Solana,Lending,"Lending, Borrowing & Real World Assets",,mangomarkets,[Pyth],1
2933,Kei Finance,Ethereum,Yield,Asset Management,,KeiFinance,[],1
1370,Symblox,Velas,Synthetics,Asset Management,,SymbloxDeFi,,1
1445,Aelin,Ethereum,Services,"Infrastructure, Services & Financial Products",[AelinXYZ],aelinprotocol,[],1
1401,Moonwell Apollo,Moonriver,Lending,"Lending, Borrowing & Real World Assets",[moonwell-fi],MoonwellDeFi,[Chainlink],1
1450,Solidex,Fantom,Yield Aggregator,Asset Management,[solidex-fantom],SolidexFantom,[],1
2241,ORA Finance,Aurora,Algo-Stables,Asset Management,,orafinance,[TWAP],1
3651,Loanshark Core,Scroll,Lending,"Lending, Borrowing & Real World Assets",[loansharktechteam],loansharktech,[RedStone],1
464,Beta Finance,Ethereum,Lending,"Lending, Borrowing & Real World Assets",,beta_finance,,1
3453,Racoon.Bet,Juno,Gaming,"Infrastructure, Services & Financial Products",[racoon-supply-rac],RacoonSupply,[],1
2063,Madmex,Polygon,Derivatives,Trading & Exchanges,,MMFcrypto,[],1
1960,CryptoBlades,Binance,Gaming,"Infrastructure, Services & Financial Products",[CryptoBlades],CryptoBlades,[],1
723,Potluck Protocol,Fantom,Dexes,Trading & Exchanges,,PotluckProtocol,[Internal],1
1125,MetaCrono,Cronos,Yield Aggregator,Asset Management,,MetaCronoFarms,,1
3646,Ociswap,Radix,Dexes,Trading & Exchanges,,ociswap,[],1
1986,Canto Lending,Canto,Lending,"Lending, Borrowing & Real World Assets",,CantoPublic,[],1
1790,Kokonut Swap,Klaytn,Dexes,Trading & Exchanges,[kokoa-finance],,[TWAP],1
262,Primitive,Ethereum,Dexes,Trading & Exchanges,[primitivefinance],PrimitiveFi,,1
1821,AstarFarm,Astar,Gaming,"Infrastructure, Services & Financial Products",,AstarFarm,[],1
993,O2 DAO,Avalanche,Reserve Currency,Asset Management,,0xO2DAO,,1
116,Balancer V1,Ethereum,Dexes,Trading & Exchanges,,BalancerLabs,,1
2734,Blast API,Ethereum,Services,"Infrastructure, Services & Financial Products",,BlastAPI,[],1
2956,Affine DeFi,Polygon,Yield Aggregator,Asset Management,,AffineDeFi,[],1
1277,Paprprintr,Binance,Algo-Stables,Asset Management,,paprprintr,,1
3637,HOPE Lend,Ethereum,Lending,"Lending, Borrowing & Real World Assets",,Hope_money_,[],1
3097,OMT Finance,Onus,Derivatives,Trading & Exchanges,,OMTFinance,[],1
