date,type,totalLiquidityUSD
2019-01-17 00:00:00,"Infrastructure, Services & Financial Products",0.00019030183050000002
2019-01-17 00:00:00,"Lending, Borrowing & Real World Assets",0.25447680955094
2019-01-17 00:00:00,Trading & Exchanges,0.00065827682668
2019-01-18 00:00:00,"Infrastructure, Services & Financial Products",0.00019023148348
2019-01-18 00:00:00,"Lending, Borrowing & Real World Assets",0.26569297384949
2019-01-18 00:00:00,Trading & Exchanges,0.00065182066579
2019-01-19 00:00:00,"Infrastructure, Services & Financial Products",0.00019040685495000002
2019-01-19 00:00:00,"Lending, Borrowing & Real World Assets",0.23263338442426
2019-01-19 00:00:00,Trading & Exchanges,0.0006432106059100001
2019-01-20 00:00:00,"Infrastructure, Services & Financial Products",0.00019072437445
2019-01-20 00:00:00,"Lending, Borrowing & Real World Assets",0.23956594555974
2019-01-20 00:00:00,Trading & Exchanges,0.00071426315797
2019-01-21 00:00:00,"Infrastructure, Services & Financial Products",0.00019082120435
2019-01-21 00:00:00,"Lending, Borrowing & Real World Assets",0.23642537818126
2019-01-21 00:00:00,Trading & Exchanges,0.00061758060778
2019-01-22 00:00:00,"Infrastructure, Services & Financial Products",0.00018977253102
2019-01-22 00:00:00,"Lending, Borrowing & Real World Assets",0.22910716952348
2019-01-22 00:00:00,Trading & Exchanges,0.0007103083573
2019-01-23 00:00:00,"Infrastructure, Services & Financial Products",0.00018998845679
2019-01-23 00:00:00,"Lending, Borrowing & Real World Assets",0.2234193773343
2019-01-23 00:00:00,Trading & Exchanges,0.00070106606142
2019-01-24 00:00:00,"Infrastructure, Services & Financial Products",0.00019062525068
2019-01-24 00:00:00,"Lending, Borrowing & Real World Assets",0.23112835692869
2019-01-24 00:00:00,Trading & Exchanges,0.00068425025437
2019-01-25 00:00:00,"Infrastructure, Services & Financial Products",0.00019041875195
2019-01-25 00:00:00,"Lending, Borrowing & Real World Assets",0.22903691197756001
2019-01-25 00:00:00,Trading & Exchanges,0.0007212822793199999
2019-01-26 00:00:00,"Infrastructure, Services & Financial Products",0.00019047903477
2019-01-26 00:00:00,"Lending, Borrowing & Real World Assets",0.22935090984875
2019-01-26 00:00:00,Trading & Exchanges,0.00072433453076
2019-01-27 00:00:00,"Infrastructure, Services & Financial Products",0.00019123643972
2019-01-27 00:00:00,"Lending, Borrowing & Real World Assets",0.23277518682132
2019-01-27 00:00:00,Trading & Exchanges,0.00073303347233
2019-01-28 00:00:00,"Infrastructure, Services & Financial Products",0.00019098485430000002
2019-01-28 00:00:00,"Lending, Borrowing & Real World Assets",0.22755307800489
2019-01-28 00:00:00,Trading & Exchanges,0.00072478593466
2019-01-29 00:00:00,"Infrastructure, Services & Financial Products",0.00019044036012
2019-01-29 00:00:00,"Lending, Borrowing & Real World Assets",0.09911972508777
2019-01-29 00:00:00,Trading & Exchanges,0.00073957742487
2019-01-30 00:00:00,"Infrastructure, Services & Financial Products",0.00019040828912
2019-01-30 00:00:00,"Lending, Borrowing & Real World Assets",0.20649781133787
2019-01-30 00:00:00,Trading & Exchanges,0.00064715131645
2019-01-31 00:00:00,"Infrastructure, Services & Financial Products",0.00019084801926999998
2019-01-31 00:00:00,"Lending, Borrowing & Real World Assets",0.21014847221507998
2019-01-31 00:00:00,Trading & Exchanges,0.00068741297462
2019-02-01 00:00:00,"Infrastructure, Services & Financial Products",0.00019084739009
2019-02-01 00:00:00,"Lending, Borrowing & Real World Assets",0.21619588851301
2019-02-01 00:00:00,Trading & Exchanges,0.00070482468958
2019-02-02 00:00:00,"Infrastructure, Services & Financial Products",0.00019090877381
2019-02-02 00:00:00,"Lending, Borrowing & Real World Assets",0.21468944524494998
2019-02-02 00:00:00,Trading & Exchanges,0.00071908269995
2019-02-03 00:00:00,"Infrastructure, Services & Financial Products",0.00019209299692
