user_address,timeStamp,stake_change,cumulative_stake,Year
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-20,6.042093672027466e+18,2.582801542762843e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-21,2.364682731971746e+18,2.6064483700825607e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-22,2.0512315104112185e+19,2.8115715211236825e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-23,5.078517013942028e+18,2.8623566912631026e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-24,9.324000861727562e+18,2.955596699880378e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-25,1.4347350145199174e+19,3.09907020133237e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-26,2.507290087594283e+18,3.1241431022083126e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-27,8.121118136563094e+18,3.205354283573944e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-28,4.62047284599495e+18,3.2515590120338935e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-29,2.2557101794954854e+18,3.274116113828848e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-30,7.715513569487057e+18,3.351271249523719e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-31,2.2497597642471762e+18,3.3737688471661904e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-01,9.271100151394116e+18,3.466479848680132e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-02,7.598683642164777e+18,3.542466685101779e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-03,2.70410110968109e+19,3.8128767960698887e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-04,6.259003766606598e+17,3.819135799836495e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-05,7.319873450635421e+18,3.8923345343428493e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-06,1.9463329840185265e+18,3.911797864183035e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-07,4.121800505202972e+18,3.9530158692350643e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-08,6.402473767766301e+18,4.017040606912727e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-09,2.255957430781469e+19,4.242636349990874e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-10,6.700921176486442e+18,4.3096455617557384e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-11,1.3058802439360717e+18,4.3227043641950994e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-12,3.671742604231709e+18,4.3594217902374165e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-13,5.02249679286478e+18,4.409646758166064e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-14,2.9894470550548444e+18,4.4395412287166126e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-15,5.683128164925125e+18,4.496372510365864e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-16,3.7844272875025654e+18,4.5342167832408896e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-17,7.100621239089955e+18,4.605222995631789e+20,2021
